Country Name,2007,2010,Leading digit(2007),Leading digit(2010),,,,,
Syrian Arab Republic,"2,972,000,000","6,308,000,000",2,6,,,,,
Tanzania,"1,215,000,000","1,279,000,000",1,1,,,,,
Thailand,"20,623,000,000","23,809,000,000",2,2,,,,,
Togo,"38,000,000","105,000,000",3,1,,,,,
Trinidad and Tobago,"621,000,000","630,000,000",6,6,,,,,
Tunisia,"3,373,000,000","3,477,000,000",3,3,,,,,
Turkey,"21,662,000,000","26,318,000,000",2,2,,,,,
Uganda,"402,000,000","802,000,000",4,8,,,,,
Ukraine,"5,320,000,000","4,696,000,000",5,4,,,,,
United Arab Emirates,"6,072,000,000","8,577,000,000",6,8,,,,,
United Kingdom,"48,193,000,000","40,746,000,000",4,4,,,,,
United States,"148,846,000,000","164,606,000,000",1,1,,,,,
Uruguay,"928,000,000","1,669,000,000",9,1,,,,,
Vanuatu,"142,000,000","242,000,000",1,2,,,,,
"Venezuela, RB","972,000,000","794,000,000",9,7,,,,,
Virgin Islands (U.S.),"1,512,000,000","1,013,000,000",1,1,,,,,
West Bank and Gaza,"212,000,000","667,000,000",2,6,,,,,
"Yemen, Rep.","425,000,000","1,161,000,000",4,1,,,,,
Zimbabwe,"365,000,000","634,000,000",3,6,,,,,
